Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
{ x:Integer where ((>[??] x) 0) },Natural,1,1,1,4449.0,1
{ x:Integer where ((>[??] x) 0) },Natural,(if True then 1 else 1),4,2,4473.454,1
{ x:Integer where ((>[??] x) 0) },Natural,1,1,1,4449.0,1
{ x:Integer where ((>[??] x) 0) },Natural,(if ((if ((if (if False then False else True) then (if False then (\fresh_44:Integer -> (! False)) else ((if False then <Int else <Int) -403)) else (if ((\fresh_50:String -> True) "BvMSxEHDvtiKdqnpaTIQVAMNxWbowYgNh") then (<=Int (if False then 328 else -124)) else (if (if True then False else False) then (\fresh_44:Integer -> False) else (\fresh_44:Integer -> True)))) -308) then (\fresh_1:Integer -> (! ((if False then (\fresh_57:Integer -> False) else (\fresh_57:Integer -> True)) fresh_1))) else (if (if True then True else True) then (\fresh_1:Integer -> False) else ((\fresh_61:Boolean -> (!=Int 379)) True))) ((if (if ((\fresh_26:Integer -> True) (if True then -448 else 333)) then False else True) then (\fresh_2:Boolean -> ((if ((\fresh_34:Integer -> True) -512) then (\fresh_32:Top -> (string_length "gsKvfFpoIWLPBlbSnMSKpPHlJfZefomwwZUKTHrmvCVYXzveSlMbNdgioWxsSZWnzhvPoGKGFiJfEohTOEmqXyAMtbZEvYimjIcMMdekCRPqTg")) else (\fresh_32:Top -> -421)) "ussrMOsqzhXWYKBtZfGmLiiazLyFHlnssbKqERILzWljevyCQgqBhBbpxnmUFpqpXOEJldmFlobMXEeoGdaILvVYEFBVwQIFOyPOkgIHRrXfJbqgKzPkHXrtREYdJUjSWWR")) else (if True then (\fresh_2:Boolean -> 445) else (if True then (\fresh_2:Boolean -> -482) else (\fresh_2:Boolean -> -380)))) ((if ((\fresh_9:Boolean -> True) False) then (if False then (\fresh_3:Double -> True) else (\fresh_3:Double -> True)) else (if (if False then (if False then False else False) else (if (! True) then True else True)) then (\fresh_3:Double -> False) else (\fresh_3:Double -> True))) (if (! ((if True then ! else !) True)) then (if False then -252.33615763832273 else (if False then -520.8302544978039 else -163.15256227244282)) else (if (if True then False else False) then ((\fresh_8:Integer -> -409.45898169867894) 188) else -41.95941892428751))))) then 1 else ((\fresh_86:Integer -> 1) 568)),162,10,15763.459,1
{ x:Integer where ((>[??] x) 0) },Natural,(if False then 1 else 1),4,2,4473.007,1
{ x:Integer where ((>[??] x) 0) },Natural,(if True then 1 else ((\fresh_87:Integer -> (if True then 1 else fresh_87)) 501)),10,5,4693.054,1
{ x:Integer where ((>[??] x) 0) },Natural,1,1,1,4449.0,1
{ x:Integer where ((>[??] x) 0) },Natural,1,1,1,4449.0,1
{ x:Integer where ((>[??] x) 0) },Natural,1,1,1,4449.0,1
{ x:Integer where ((>[??] x) 0) },Natural,(if False then (if (((\fresh_89:Boolean -> (if fresh_89 then ! else !)) ((if True then (\fresh_90:Object -> False) else (\fresh_90:Object -> True)) 551)) True) then 1 else 1) else ((if (if False then ((if True then (<=Int (if True then (if True then 361 else -247) else -208)) else (if (if True then False else True) then (\fresh_144:Integer -> False) else (<Int (if False then -391 else 65)))) (if (if (if True then (if False then False else False) else True) then False else (if False then True else True)) then ((\fresh_145:Boolean -> 272) False) else (if True then (if False then -179 else -72) else -863))) else True) then (((\fresh_157:Integer -> (\fresh_156:Integer -> (\fresh_93:Boolean -> 1))) ((if True then (\fresh_158:Integer -> (string_length "OSqKgRhnBPlUuYLIm")) else (% 185)) -270)) -214) else (\fresh_93:Boolean -> (if False then (if (if True then ((\fresh_184:Integer -> fresh_93) -93) else ((\fresh_185:Integer -> fresh_93) -387)) then 1 else 1) else (((\fresh_199:Integer -> (\fresh_190:Boolean -> 1)) (if fresh_93 then -321 else -45)) (! (if True then True else fresh_93)))))) (if False then (((\fresh_116:Boolean -> ((\fresh_143:Boolean -> (\fresh_94:Integer -> fresh_116)) True)) ((\fresh_117:Boolean -> fresh_117) True)) ((\fresh_95:Integer -> (if True then fresh_95 else fresh_95)) (if (if True then False else False) then ((\fresh_96:Integer -> (if False then -498 else fresh_96)) ((\fresh_97:Double -> 175) (if False then 259.7458858441388 else -907.1949076558358))) else -139))) else True))),165,10,16060.867,1
{ x:Integer where ((>[??] x) 0) },Natural,1,1,1,4449.0,1
{ x:Integer where ((>[??] x) 0) },Natural,(if False then (if ((\fresh_200:Integer -> (if True then True else (if True then (if (if False then True else True) then False else False) else False))) (if True then -240 else (if ((if False then (\fresh_201:Integer -> True) else (\fresh_201:Integer -> False)) ((/Int -760) -446)) then (if False then 222 else 13) else ((\fresh_206:Boolean -> 628) (! True))))) then 1 else (if ((if False then (if True then ! else (if False then ! else (|| True))) else (--> (! ((<=Int 220) -87)))) False) then (if ((if False then (\fresh_221:Integer -> False) else (\fresh_221:Integer -> (if False then True else False))) 431) then 1 else 1) else (if True then 1 else 1))) else 1),87,10,9622.922,1
