Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(\a:Integer -> (-Int -470)),4,3,553.154,-512
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(if True then *Int else (if False then +Int else /Int)),7,3,717.0,1764
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,+Int,1,1,487.0,84
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(if (if True then False else False) then -Int else +Int),7,3,707.0,84
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(if True then *Int else %),4,2,558.0,1764
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,*Int,1,1,488.0,1764
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(\a:Integer -> (\b:Integer -> (if False then b else -68))),6,4,648.608,-68
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,-Int,1,1,480.0,0
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(if True then (\a:Integer -> (-Int 168)) else (if False then /Int else (\a:Integer -> (\b:Integer -> a)))),12,5,1099.603,126
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,-Int,1,1,480.0,0
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(if (if ((\fresh_25:Boolean -> False) False) then True else False) then *Int else +Int),10,5,923.0,84
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,*Int,1,1,488.0,1764
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(if ((\fresh_35:Double -> False) -60.685275266591795) then +Int else -Int),7,4,715.735,0
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(if (if (if False then True else False) then True else True) then (if False then -Int else *Int) else -Int),13,4,1183.0,1764
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,*Int,1,1,488.0,1764
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,*Int,1,1,488.0,1764
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,-Int,1,1,480.0,0
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(\a:Integer -> (\b:Integer -> -436)),3,3,510.836,-436
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(if True then -Int else %),4,2,552.0,0
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(\a:Integer -> ((\fresh_43:Object -> (-Int 265)) "ApwSoWWlgfJYs")),7,5,735.011,223
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(\a:Integer -> (\b:Integer -> b)),3,3,506.0,42
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,*Int,1,1,488.0,1764
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,*Int,1,1,488.0,1764
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(if False then /Int else (\a:Integer -> (-Int 72))),7,4,729.509,30
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,((\fresh_51:Integer -> (\a:Integer -> (\b:Integer -> b))) 169),6,5,704.241,42
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,((\fresh_58:Boolean -> (\a:Integer -> (\b:Integer -> b))) False),6,5,697.0,42
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(\a:Integer -> (\b:Integer -> b)),3,3,506.0,42
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,((\fresh_66:Boolean -> *Int) ((if True then (&& True) else !) True)),11,5,1059.0,1764
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(if True then +Int else %),4,2,560.0,84
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,+Int,1,1,487.0,84
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(\a:Integer -> (\b:Integer -> a)),3,3,508.0,42
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,*Int,1,1,488.0,1764
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(\a:Integer -> (\b:Integer -> 301)),3,3,510.57,301
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,-Int,1,1,480.0,0
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(\a:Integer -> (\b:Integer -> -438)),3,3,510.848,-438
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(if ((\fresh_84:Object -> False) (if True then -175 else 654.6931762481066)) then (if False then -Int else -Int) else +Int),13,4,1174.345,84
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,-Int,1,1,480.0,0
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,-Int,1,1,480.0,0
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,((\fresh_85:Boolean -> +Int) (if (if False then False else True) then False else True)),10,4,950.0,84
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,+Int,1,1,487.0,84
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,((\fresh_105:Integer -> (if False then +Int else +Int)) -150),7,4,718.361,84
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(if False then (\a:Integer -> (\b:Integer -> -690)) else (if False then -Int else -Int)),9,4,855.512,0
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,*Int,1,1,488.0,1764
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,(if True then ((\fresh_118:Double -> *Int) 357.75715642877054) else *Int),7,4,727.847,1764
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,+Int,1,1,487.0,84
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,((\fresh_142:Integer -> ((\fresh_143:Object -> *Int) !)) -244),7,5,733.409,1764
(a:Integer -> ((b:Integer -> (Integer)))),Refined Double Abstract Integer,-Int,1,1,480.0,0
