Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
Boolean,Boolean,True,1,1,819.0,1
Boolean,Boolean,False,1,1,810.0,0
Boolean,Boolean,False,1,1,810.0,0
Boolean,Boolean,True,1,1,819.0,1
Boolean,Boolean,True,1,1,819.0,1
Boolean,Boolean,True,1,1,819.0,1
Boolean,Boolean,((\fresh_1:Boolean -> fresh_1) True),4,3,894.0,1
Boolean,Boolean,(if ((if False then (\fresh_2:Top -> True) else (\fresh_2:Top -> False)) 11) then ((--> False) True) else (if True then False else False)),18,5,1704.649,0
Boolean,Boolean,(if ((if False then (--> True) else ((\fresh_8:Double -> !) (if True then -511.0273268777944 else 616.8210750180168))) True) then False else (if (if (! False) then False else False) then False else True)),25,6,2273.385,1
Boolean,Boolean,((if ((\fresh_13:Integer -> True) ((\fresh_14:Boolean -> 306) True)) then (\fresh_12:Integer -> False) else (\fresh_12:Integer -> (if True then True else False))) (if True then -120 else -509)),20,6,1879.868,0
Boolean,Boolean,False,1,1,810.0,0
Boolean,Boolean,((\fresh_28:Object -> False) -493),4,3,877.504,0
Boolean,Boolean,(if (if False then True else (! False)) then False else True),9,4,1053.0,0
Boolean,Boolean,((|| False) True),5,3,894.0,1
Boolean,Boolean,True,1,1,819.0,1
Boolean,Boolean,True,1,1,819.0,1
Boolean,Boolean,((if True then (\fresh_34:Integer -> False) else (>Int -455)) -407),9,4,1129.274,0
Boolean,Boolean,((\fresh_42:Top -> False) 123),4,3,872.841,0
Boolean,Boolean,(if False then ((\fresh_44:(fresh_43:Integer -> (Integer)) -> True) (\fresh_43:Integer -> 46)) else True),8,4,1051.96,1
Boolean,Boolean,((if False then ! else !) False),6,3,954.0,1
Boolean,Boolean,((if True then (\fresh_62:Top -> False) else (\fresh_62:Top -> False)) (if (((if True then And else ||) True) False) then (% -47) else 95)),20,6,1902.393,0
Boolean,Boolean,(! False),3,2,828.0,1
Boolean,Boolean,((if True then (\fresh_76:Integer -> (! False)) else (\fresh_76:Integer -> (if False then (if False then False else False) else True))) -438),16,6,1563.909,1
