Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
String,String,(((if False then (if (if False then (if False then False else False) else False) then (\fresh_2:Integer -> (\fresh_1:Integer -> "pQkLnIfbSdwspUAHuYgSSEIAhvUHWIfYkrEYGeHkaJZTYJACBIJnwlUrsyDFxLitASurSBMDHlEbjuTOnjVCERaCHgOsLPYXuYttHKJuIFEOdmtKVBIipsGKjtnzKwQsObSTHwPifeLzkcXZmCkGQPHdqYBKlxQ")) else (\fresh_2:Integer -> (if (if False then True else False) then (\fresh_1:Integer -> "bRGLLKSTeIpobbHRGJQCppMndpYzeNOyrD") else (\fresh_1:Integer -> "AruFLSOihAkUEDQZVycISPZKdDulNAEdwHFkbyeIhkQSEFIQRRsdRfRDVZLtqkvOemPiVVPKQIbWGcLjtXQbRLPJQABBiXkLKBzoJEItCmpiECJmgGLpRMQelAantsLnNrTZDDgQJKSwocTnXGZcxgzINhkrSeHmLLpjekzPNVvqatuCdRhmgcifGlFNSrNBIbd")))) else (\fresh_2:Integer -> (\fresh_1:Integer -> "SorDSstGWIfunQzUwXjHCDewMTUNrunOfwqPSnMMPG"))) -640) 163),30,8,3402.726,42
String,String,"uGZEbyJgORsZsiEEfhJgllSRcrPxiRVVhOrBEYjqpAdIqIIzouYjVrHpFZFGARIJPpwTLCbiFPDtXcoXClsTFyiHDidcHDipqlmFvDqJgoUIqegrgGdwfxeyEMRwIgqVODm",1,1,1919.978,131
String,String,((if True then (if True then (if True then (\fresh_158:Boolean -> (if (if True then False else fresh_158) then "jgNZRspXNNeypSkXzroRbfaFNwmdcCjijUMDhtxhaPoWuKjNvsvnaSrKSR" else "eiUlFiDAtEziDmJZwtzqivcKia")) else (\fresh_158:Boolean -> (if (! fresh_158) then "XkejmYAevEZD" else "ndUFZnuXccGGieELlZAiatZLeAPWtLTGilznaFjdRWpTyBQxIQajiXgdycFQsZHbSeQjyYDx"))) else (if True then (if False then (\fresh_158:Boolean -> "YtlAYAHuSjZzBYyQzFSEouNHPNLakxwleTyRVqIOzRmiTFyQioPpUNiwUHwOgqKFHUMvUBrEWOpzxDQSJxitWMCGDCLPz") else (\fresh_158:Boolean -> "SeW")) else (\fresh_158:Boolean -> "sucDzoXFYuslllsyinQOgjHjMisNj"))) else (\fresh_158:Boolean -> "FHuKqZReeYzvHVDTmVgmNEpooRZEypcRpxamaxPwifDdyOfYNPAAoQUeClEcfmkKNhQIfwWhicAsmxpKfbSOMrmcAqcxEBQPoHbwyzvibwMClbHyljZOnvWjseKzbMBnVQRrhyyoBtlumSCmbSLmTMBhqhkayBHDpWNBtyFWbmoIPJpAgRhAMwoLHpVnIddriYrJKWDcEpVruDM")) True),35,8,3767.298,26
String,String,"RWYiTfkfqEMQMCAGSecVzJAETUboToRwPioNkpufvegpGJddaDbfxBhCVHKGYLxbIXWIdsJTohooQxlgitdniFcxRhFSdpcGBmPZRoKDZrCdgBubnlCqUqNCKqMVtXFlYFPWEPuQgqQlC",1,1,1922.278,141
String,String,(if (if ((if ((if True then ! else !) (if False then True else True)) then (\fresh_201:Object -> True) else (\fresh_201:Object -> False)) 293.7389540306368) then (if True then True else False) else (((\fresh_211:Double -> !) (if False then 636.7013052179601 else -211.0921946612583)) (if False then True else False))) then "ozaicdbaqzcOhYbLVHBfWEOKyVJyljbgfJENqsXhFzYvIjGveePkUBRLPISaas" else (if (if False then True else (if (! True) then True else True)) then (if False then "XasmxrbyEKqahaYQOHPWFiMbWhloBeKagTrqRaZPQaWTKOzFKC" else ((\fresh_216:Boolean -> "ILnxZjgrBWFDNZedbRmUYncgbWlE") False)) else "grzUFEKMYlKicSEtndnxUKNXZtZFXTfNubgbLsXxrQKAfmyHBYkwGbQin")),53,7,5170.909,62
String,String,((if ((if False then (\fresh_246:Double -> False) else ((\fresh_258:Boolean -> (\fresh_246:Double -> True)) True)) 811.5669701729363) then (if False then (\fresh_217:Boolean -> (if fresh_217 then (if fresh_217 then "hVKYrUJJackWHuqofSwnKCViDHbBxPrDSVVvIXUdHmsDwpCkxYvXFhIbmJPmFzPZXWDqxWuSIVVrmdvUNXKithgUPwDvfyrtZUdVjjPeIWaSZzBcfewe" else "GoLgWhETrGMYizZWjizlUaHejiUuqidiGZXHedsr") else "oeOyNTVnaEvzARziYjvCCfrdStigSZnCfzzOnuOjfuJuTEPoycTFaiMXqoQXkrlSmYmtzTpiEjFqHXlPvUgS")) else ((\fresh_259:Top -> (\fresh_217:Boolean -> (if True then "CEkMwQIUmzreVzvFfetrbcaAWYDYItOonxlBnsvgWNtHCRlAfWblqyoHvrxNMAPQozuqHgJXJD" else "MynVmairpebEbcSqCDM"))) -164)) else ((\fresh_267:Boolean -> (\fresh_217:Boolean -> "YKGLhrpAuiQhKQdLdJUAUJNDcQbUwXAKVkpNOnemmedJcXYLTYpaORWpOseMzgDeZEgDtDYJhKDuitBGXPdmqiGuoMqEgzfIMrlcujwXtSilSErlgrGbDKlGcRGAN")) True)) (if (if ((if True then (\fresh_218:Integer -> True) else (if True then (\fresh_218:Integer -> False) else (\fresh_218:Integer -> False))) -738) then (if True then True else ((\fresh_225:Boolean -> fresh_225) True)) else False) then ((if (if True then True else (if False then True else True)) then (\fresh_226:Integer -> (if False then False else True)) else (if ((\fresh_228:Integer -> True) -351) then (!=Int 793) else (\fresh_226:Integer -> False))) ((\fresh_227:Double -> (if True then 434 else -213)) -361.8018493006103)) else (((\fresh_231:Boolean -> (\fresh_230:Double -> fresh_231)) (if False then True else True)) 380.44642731514267))),99,8,9275.522,74
String,String,"hcYGwYoWaAOmseknFzKDepzaJPIogvQwXLyfnQqFMymcmiiaDVvlumarETHbRHmLUeOrdAL",1,1,1902.733,71
String,String,((if (if (! ((\fresh_270:Object -> False) -)) then (if (if True then False else True) then True else (if True then (! True) else False)) else (if True then False else (if False then True else (if True then False else False)))) then (\fresh_268:Boolean -> "KqH") else (\fresh_268:Boolean -> "sbSMJqISRyMEynK")) False),36,7,3808.653,15
String,String,(if True then ((\fresh_273:Boolean -> "SQtmKOfjtAec") True) else "mc"),7,4,2019.695,12
String,String,"JBMAMsDLFLEIlCqcFjWjYA",1,1,1887.479,22
